logID,amount,vates,ilvldiff,NDruids,PowerInfusion,uptime_pct,boss,mage,duration_s,vates_by,Berserking,Destruction,VT,JoW
Xt6wTRj9LZhfNqYF,994.19001684001,0,-0.720001220703125,2,0,0,100623,99764164,279.691,0,0,0,10918,4292
Xt6wTRj9LZhfNqYF,1130.0149093106,0,-0.720001220703125,2,0,0,100623,110863420,279.691,0,0,0,9451,4186
Xt6wTRj9LZhfNqYF,1384.1325153574,0,-0.68000030517578125,2,0,0,100627,99764164,245.647,0,0,0,6560,3626
Xt6wTRj9LZhfNqYF,1186.4871136224,0,-0.68000030517578125,2,0,0,100627,110863420,245.647,0,0,0,7019,3182
Mwc6bgBT9KNrZPtm,1036.0420107237,0,4.279998779296875,2,0,30.02258314803014,100624,91485352,230.703,0,0,0,7578,4662
Mwc6bgBT9KNrZPtm,977.38650992835,0,-2.720001220703125,2,0,29.312579376947838,100624,91920037,230.703,0,0,1,6572,3256
Mwc6bgBT9KNrZPtm,1121.8189620421,0,4.279998779296875,2,0,30.719583187041344,100624,110113343,230.703,0,0,0,7220,2738
nyR1dJwBvxcW2hgX,2095.6771046655,0,6.279998779296875,3,0,0,100623,107276232,134.285,0,1,0,8657,2072
nyR1dJwBvxcW2hgX,2027.449082176,0,1.279998779296875,3,0,0,100623,107596523,134.285,0,0,0,8713,2368
nyR1dJwBvxcW2hgX,941.70607290464,0,-12.720001220703125,3,0,72.22623524593217,100623,111660780,134.285,0,1,0,0,1924
nyR1dJwBvxcW2hgX,1667.2807706524,0,5.760002136230483,3,0,0,100624,107276232,173.152,0,1,0,8100,2294
nyR1dJwBvxcW2hgX,1877.0328959527,0,0.760002136230483,3,0,0,100624,107596523,173.152,0,0,0,8093,2886
nyR1dJwBvxcW2hgX,1875.6410552578,0,3.760002136230483,3,0,0,100624,109888177,173.152,0,1,0,8095,2664
nyR1dJwBvxcW2hgX,1059.1618924413,0,-13.239997863769517,3,0,0,100624,111660780,173.152,0,1,0,0,3034
nyR1dJwBvxcW2hgX,1721.6507018837,0,5.760002136230483,3,0,0,100627,107276232,211.716,0,1,0,13842,3256
nyR1dJwBvxcW2hgX,2118.1016078142,1,0.760002136230483,3,0,0,100627,107596523,211.716,1,0,0,13923,3552
nyR1dJwBvxcW2hgX,1793.4875021255,0,3.760002136230483,3,0,0,100627,109888177,211.716,0,1,0,13730,2886
